Designator,Mid X,Mid Y,Layer,Rotation
+3.3V101,92.403,-124.622,top,0
+5V101,93.165,-93.38,top,0
5VHead101,167.079,-185.328,top,0
C1,63.1,-182,top,-90
C10,64.1375,-100.6,top,180
C11,64.1375,-98,top,180
C18,75.8625,-162.5,top,180
C19,67.86875,-174.5,top,90
C2,63.75,-168.75,top,180
C20,63,-178,top,90
C21,63,-174,top,-90
C22,179.017,-38.77,top,-90
C23,93,-65.5,top,180
C24,116.279,-168.056,top,0
C3,64.1375,-86.75,top,180
C4,64,-82,top,0
C5,64.1375,-89.8,top,180
C6,63.9375,-92.4,top,180
C7,63.9375,-95.2,top,180
C8,63.9375,-107,top,180
C9,64.5,-103.75,top,180
D_PSU_RX1,166,-141.3,top,0
D_PSU_RX2,183.843,-123.352,top,0
D_PSU_TX1,171.25,-141.25,top,0
D_PSU_TX2,176.731,-122.25,top,0
D1,75,-113,top,0
D2,74.19,-92.5,top,0
D3,101.75,-82.25,top,90
D4,170.25,-75.5,top,0
D801,215.339,-174.66,top,90
F801,216.6345,-187.868,top,180
J10,177.493,-184.566,top,90
J11,101.73,-55,top,0
J12,70.23,-55,top,0
J13,80,-55,top,0
J201,221.669,-219.635,top,180
J23,66.46,-156,top,90
J24,53.38,-157,top,90
J25,183.5,-190,top,-90
J28,182.59,-115.752,top,-90
J30,182.0875,-77.23,top,-90
J31,182,-65.71,top,-90
J32,178.235,-217.603,top,180
J33,169.599,-217.603,top,180
J34,75.893,-217.84,top,180
J37,165.7855,-47.152,top,0
J801,142.441,-168.31,top,0
J802,148.029,-172.12,top,0
J804,224.991,-193.456,top,90
J805,-172.12,0,0,top
JP10,127.725,-193.95,top,180
JP15,100.28,-193.95,top,180
JP205,213.546,-204.04448,top,180
JP9,155,-193.95,top,180
K801,211.275,-179.74,top,-90
Q1,78.4375,-116,top,180
Q10,70.4625,-171.39375,top,-90
Q11,176.3375,-76.5,top,0
Q12,176.25,-65,top,0
Q13,170,-175.5,top,90
Q14,152.093,-101,top,90
Q2,71.5,-73.565,top,-90
Q3,78.5,-71,top,180
Q4,76.25,-61.25,top,180
Q801,194.511,-190.8375,top,90
Q9,70.55,-187.85,top,-90
R1,105.992,-188.376,top,-90
R10,82.9125,-75.25,top,0
R100,179,-84.38,top,-90
R101,96.25,-88.5875,top,-90
R102,96.75,-101.5,top,90
R103,95.21,-106.7875,top,90
R104,96.75,-106.75,top,-90
R105,96.25,-85.0875,top,90
R106,96.25,-80.8375,top,90
R107,95.25,-110.3375,top,-90
R108,95.25,-114,top,-90
R109,177.75,-118.25,top,90
R11,86.25,-121.75,top,0
R110,177.75,-114.5,top,90
R111,174.25,-83.9675,top,-90
