"Start time: 2024-12-01 07:42:36"
"Start due to power on record",
"Device ID: "
"Sample rate per sec.: 1.000000"
"UTC Time","200psi 5v           "," 5psi 5v"," O2 electrochemical"," O2 ZrO2"," Mass Flow 5v","O2 Paramagnetic"
"Time Stamp","Volt","Volt","Volt","Volt","Volt","Volt"
45627.32126157408,0.4989,0.5043,-0.0011,-0.0029,0.0069,-0.0006
45627.32127314815,0.4874,0.5037,-0.0011,-0.0026,0.0066,-0.0003
45627.32128472222,0.4919,0.5034,-0.0011,-0.0029,0.0066,-0.0006
45627.32129629630,0.4956,0.5034,-0.0011,-0.0026,0.0066,-0.0006
45627.32130787038,0.4974,0.5034,-0.0011,-0.0029,0.0069,-0.0006
45627.32131944445,0.4996,0.5037,-0.0011,-0.0029,0.0066,-0.0006
45627.32133101852,0.5005,0.5037,-0.0011,-0.0029,0.0066,-0.0006
45627.32134259259,0.5008,0.5037,-0.0011,-0.0029,0.0066,-0.0006
45627.32135416667,0.5011,0.5037,-0.0011,-0.0029,0.0066,-0.0006
45627.32136574075,0.5014,0.5037,-0.0011,-0.0029,0.0066,-0.0006
45627.32137731482,0.5020,0.5037,-0.0011,-0.0026,0.0066,-0.0006
45627.32138888889,0.5026,0.5037,-0.0011,-0.0026,0.0066,-0.0006
45627.32140046297,0.5026,0.5040,-0.0011,-0.0029,0.0066,-0.0006
45627.32141203704,0.5026,0.5037,-0.0011,-0.0029,0.0066,-0.0006
45627.32142361112,0.5023,0.5037,-0.0011,-0.0029,0.0066,-0.0006
45627.32143518519,0.5029,0.5037,-0.0011,-0.0026,0.0066,-0.0006
45627.32144675926,0.5029,0.5040,-0.0011,-0.0026,0.0066,-0.0003
45627.32145833334,0.5029,0.5037,-0.0011,-0.0026,0.0069,-0.0006
45627.32146990741,0.5029,0.5037,-0.0011,-0.0029,0.0069,-0.0006
45627.32148148149,0.5029,0.5040,-0.0011,-0.0029,0.0069,-0.0006
45627.32149305556,0.5032,0.5037,-0.0011,-0.0029,0.0069,-0.0006
45627.32150462963,0.5029,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32151620371,0.5029,0.5040,-0.0011,-0.0026,0.0066,-0.0006
45627.32152777778,0.5029,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32153935185,0.5029,0.5040,-0.0011,-0.0026,0.0069,-0.0003
45627.32155092593,0.5032,0.5040,-0.0011,-0.0026,0.0069,-0.0003
45627.32156250000,0.5029,0.5037,-0.0011,-0.0029,0.0069,-0.0006
45627.32157407408,0.5029,0.5040,-0.0011,-0.0026,0.0069,-0.0006
45627.32158564815,0.5029,0.5037,-0.0011,-0.0026,0.0069,-0.0003
45627.32159722222,0.5029,0.5037,-0.0011,-0.0026,0.0066,-0.0003
45627.32160879630,0.5029,0.5040,-0.0011,-0.0026,0.0069,-0.0003
45627.32162037037,0.5029,0.5037,-0.0011,-0.0026,0.0066,-0.0003
